Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
3721|Unit 63|使者|shǐzhě|n.|envoy; emissary|光明的使者；中外友谊的使者|guāngmíng de shǐzhě; Zhōngwài yǒuyì de shǐzhě|a messenger of light; an envoy of friendship between China and other countries
3722|Unit 63|士气|shìqì|n.|morale|提升士气；士气高涨；士气低迷|tíshēng shìqì; shìqì gāozhǎng; shìqì dīmí|boost morale; morale is high; morale is low
3723|Unit 63|示威|shìwēi|v.|demonstrate|向……示威；参与示威；示威游行|xiàng... shìwēi; cānyù shìwēi; shìwēi yóuxíng|demonstrate against...; take part in a demonstration; demonstration march
3724|Unit 63|示意|shìyì|v.|signal; hint; motion|向……示意；举手示意；示意司机停车；示意图|xiàng... shìyì; jǔshǒu shìyì; shìyì sījī tíngchē; shìyìtú|signal to...; raise a hand as a signal; signal the driver to stop; schematic diagram
3725|Unit 63|世代|shìdài|n.|generations; long period of time|流传了很多世代；世代相传；世代经商|liúchuán le hěn duō shìdài; shìdài xiāngchuán; shìdài jīngshāng|be passed down for many generations; be handed down through generations; engage in business for generations
3726|Unit 63|世故|shìgù|adj.|worldly-wise|狡猾而又世故；相当世故；懂得人情世故|jiǎohuá ér yòu shìgù; xiāngdāng shìgù; dǒngde rénqíng shìgù|cunning and worldly-wise; quite sophisticated; understand the ways of the world
3727|Unit 63|世界级|shìjièjí|adj.|world-class|世界级球星；世界级比赛；世界级文化遗产|shìjièjí qiúxīng; shìjièjí bǐsài; shìjièjí wénhuà yíchǎn|world-class sports star; world-class competition; world-class cultural heritage
3728|Unit 63|世袭|shìxí|v.|be hereditary|世袭制度；世袭财产；王位世袭|shìxí zhìdù; shìxí cáichǎn; wángwèi shìxí|hereditary system; hereditary property; hereditary succession to the throne
3729|Unit 63|市场经济|shìchǎng jīngjì|n.|market economy|市场经济模式；市场经济条件；市场经济规律|shìchǎng jīngjì móshì; shìchǎng jīngjì tiáojiàn; shìchǎng jīngjì guīlǜ|market-economy model; market-economy conditions; laws of the market economy
3730|Unit 63|势必|shìbì|adv.|certainly; inevitably|势必引起民众反对；势必造成不良影响|shìbì yǐnqǐ mínzhòng fǎnduì; shìbì zàochéng bùliáng yǐngxiǎng|will inevitably provoke public opposition; will inevitably cause adverse effects
