Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2521|43|狼狈|lángbèi|adj.|in a difficult position|狼狈的样子；狼狈地逃走|lángbèi de yàngzi; lángbèi de táozǒu|in a sorry state; flee in a sorry state
2522|43|朗诵|lǎngsòng|v.|recite|朗诵会；朗诵诗歌；高声朗诵|lǎngsònghuì; lǎngsòng shīgē; gāoshēng lǎngsòng|recitation meeting; recite poetry; recite aloud
2523|43|浪|làng|n.|wave|浪花；冲浪；后浪推前浪|lànghuā; chōnglàng; hòulàng tuī qiánlàng|spray; surf; the new generation pushes the old forward
2524|43|捞|lāo|v.|drag for; dredge up; get by improper means|捞出；大海捞针；捞钱|lāo chū; dàhǎi-lāo-zhēn; lāo qián|fish out; look for a needle in the ocean; make money by improper means
2525|43|劳动力|láodònglì|n.|labor force|劳动力市场；剩余劳动力；劳动力不足|láodònglì shìchǎng; shèngyú láodònglì; láodònglì bùzú|labor market; surplus labor force; insufficient labor force
2526|43|劳累|láolèi|adj.|tired; exhausted|连日的劳累；长期劳累；过于劳累|liánrì de láolèi; chángqī láolèi; guòyú láolèi|exhaustion from many days; long-term fatigue; overly tired
2527|43|劳务|láowù|n.|labor services|劳务费；劳务市场|láowùfèi; láowù shìchǎng|labor service fee; labor service market
2528|43|牢固|láogù|adj.|firm; solid|基础牢固；牢固地掌握|jīchǔ láogù; láogù de zhǎngwò|solid foundation; master firmly
2529|43|牢记|láojì|v.|remember well|时刻牢记；牢记教训；牢记于心|shíkè láojì; láojì jiàoxun; láojì yú xīn|always keep in mind; remember the lesson well; keep firmly in one's heart
2530|43|牢牢|láoláo|adv.|firmly|牢牢抓住；牢牢记住|láoláo zhuāzhù; láoláo jìzhù|hold firmly; remember firmly
2531|43|唠叨|láodao|v.|nag; chatter|经常唠叨；唠叨半天|jīngcháng láodao; láodao bàntiān|nag often; chatter for a long time
2532|43|老伴儿|lǎobànr|n.|spouse in an old married couple|老人的老伴儿；我一个老伴儿|lǎorén de lǎobànr; wǒ yí ge lǎobànr|an elderly person's spouse; my spouse
2533|43|老大|lǎodà|n./adv.|chief of a gang; very|队里的老大；老大不愿意；老大不开心|duì lǐ de lǎodà; lǎodà bù yuànyì; lǎodà bù kāixīn|the chief in the group; very unwilling; very unhappy
