Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1501|Unit 26|规矩|guīju|n./adj.|rule; well-behaved|懂规矩；按规矩办事；字写得很规矩；规矩人|dǒng guīju; àn guīju bànshì; zì xiě de hěn guīju; guīju rén|understand the rules; handle matters according to the rules; the characters are written very neatly; a well-behaved person
1502|Unit 26|闺女|guīnǚ|n.|girl; daughter|那个闺女；我闺女两岁了|nà ge guīnǚ; wǒ guīnǚ liǎng suì le|that girl; my daughter is two years old
1503|Unit 26|瑰宝|guībǎo|n.|treasure|艺术瑰宝；精神瑰宝|yìshù guībǎo; jīngshén guībǎo|art treasure; spiritual treasure
1504|Unit 26|轨迹|guǐjì|n.|trajectory|活动轨迹；卫星运行轨迹|huódòng guǐjì; wèixīng yùnxíng guǐjì|movement track; satellite orbit
1505|Unit 26|柜台|guìtái|n.|counter|银行柜台；食品柜台|yínháng guìtái; shípǐn guìtái|bank counter; food counter
1506|Unit 26|贵宾|guìbīn|n.|distinguished guest|贵宾室；贵宾通道|guìbīnshì; guìbīn tōngdào|VIP room; VIP passage
1507|Unit 26|贵重|guìzhòng|adj.|precious|贵重物品；贵重仪器|guìzhòng wùpǐn; guìzhòng yíqì|valuables; precious instruments
1508|Unit 26|贵族|guìzú|n.|noble|封建贵族；贵族身份|fēngjiàn guìzú; guìzú shēnfèn|feudal aristocracy; noble status
1509|Unit 26|桂花|guìhuā|n.|osmanthus fragrans|桂花树；桂花开了|guìhuā shù; guìhuā kāi le|osmanthus tree; the osmanthus has bloomed
1510|Unit 26|滚动|gǔndòng|v.|repeat at regular intervals; develop step by step|滚动播出；滚动发展|gǔndòng bōchū; gǔndòng fāzhǎn|rolling broadcast; rolling development
1511|Unit 26|棍|gùn|n.|stick|木棍；小棍儿|mùgùn; xiǎo gùnr|wooden stick; little stick
1512|Unit 26|棍子|gùnzi|n.|stick|一根棍子；长棍子|yì gēn gùnzi; cháng gùnzi|a stick; long stick
1513|Unit 26|国宝|guóbǎo|n.|national treasure|国宝故事；大熊猫是中国的国宝|guóbǎo gùshi; dàxióngmāo shì Zhōngguó de guóbǎo|national-treasure story; the giant panda is China's national treasure
1514|Unit 26|国防|guófáng|n.|national defence|国防建设；国防力量|guófáng jiànshè; guófáng lìliàng|national defense construction; national defense strength
1515|Unit 26|国画|guóhuà|n.|traditional Chinese painting|国画专业；创新国画绘画技巧|guóhuà zhuānyè; chuàngxīn guóhuà huìhuà jìqiǎo|Chinese painting major; innovate Chinese painting techniques
1516|Unit 26|国徽|guóhuī|n.|national emblem|设计国徽；庄严的国徽|shèjì guóhuī; zhuāngyán de guóhuī|design the national emblem; solemn national emblem
1517|Unit 26|国情|guóqíng|n.|national conditions|了解中国国情|liǎojiě Zhōngguó guóqíng|understand China's national conditions
1518|Unit 26|国土|guótǔ|n.|territory|维护国土完整|wéihù guótǔ wánzhěng|safeguard territorial integrity
1519|Unit 26|国学|guóxué|n.|Chinese cultural studies|国学大师；国学热|guóxué dàshī; guóxué rè|master of Chinese cultural studies; craze for Chinese cultural studies
1520|Unit 26|国有|guóyǒu|v.|be state-owned|国有资产；国有企业|guóyǒu zīchǎn; guóyǒu qǐyè|state-owned assets; state-owned enterprise
1521|Unit 26|果断|guǒduàn|adj.|decisive|果断退出；果断决定|guǒduàn tuìchū; guǒduàn juédìng|withdraw decisively; make a decisive decision
1522|Unit 26|果园|guǒyuán|n.|orchard|这片果园帮助不少果农走上了致富路。|zhè piàn guǒyuán bāngzhù bù shǎo guǒnóng zǒu shàng le zhìfù lù.|This orchard helped many fruit farmers get on the road to prosperity.
1523|Unit 26|果真|guǒzhēn|adv./conj.|really; if really|和我想得一样，他果真赢了；果真是这样就好了，我也不会担心了|hé wǒ xiǎng de yíyàng, tā guǒzhēn yíng le; guǒzhēn shì zhèyàng jiù hǎo le, wǒ yě bú huì dānxīn le|Just as I thought, he really won; if that is really the case, that would be fine, and I would not worry.
1524|Unit 26|裹|guǒ|v.|wrap|他小心地把那本书用布裹了起来。|tā xiǎoxīn de bǎ nà běn shū yòng bù guǒ le qǐlái.|He carefully wrapped that book in cloth.
1525|Unit 26|过半|guòbàn|v.|be more than half|时间过半；任务过半|shíjiān guòbàn; rènwu guòbàn|more than half the time has passed; more than half the task is done
1526|Unit 26|过不去|guòbuqù|v.|cannot get through; be hard on sb.; feel apologetic|这儿过不去；他故意跟我过不去；没帮上他，我心里有点儿过不去|zhèr guò bu qù; tā gùyì gēn wǒ guò bu qù; méi bāng shàng tā, wǒ xīnli yǒudiǎnr guò bu qù|cannot get through here; he deliberately gives me a hard time; since I could not help him, I feel a little bad
1527|Unit 26|过错|guòcuò|n.|fault|所有过错我一个人承担。|suǒyǒu guòcuò wǒ yí ge rén chéngdān.|I will bear all the fault myself.
1528|Unit 26|过道|guòdào|n.|aisle|我坐的这趟火车人很多，连过道上都站满了人。|wǒ zuò de zhè tàng huǒchē rén hěn duō, lián guòdào shàng dōu zhàn mǎn le rén.|The train I took was very crowded, and even the aisles were full of people standing.
1529|Unit 26|过关|guò//guān|v.|pass; be up to standard|考试过关；过不了关|kǎoshì guòguān; guò bu liǎo guān|pass the exam; cannot pass
1530|Unit 26|过奖|guòjiǎng|v.|praise excessively|您过奖了；真是过奖了|nín guòjiǎng le; zhēn shì guòjiǎng le|you flatter me; that is really too much praise
1531|Unit 26|过节|guò//jié|v.|celebrate a festival|盼望过节；在家过了节再出差|pànwàng guòjié; zài jiā guò le jié zài chūchāi|look forward to celebrating a festival; celebrate the festival at home before going on a business trip
1532|Unit 26|过境|guò//jìng|v.|cross a border; be in transit|过境手续；台风过境|guòjìng shǒuxù; táifēng guòjìng|transit procedures; a typhoon passes through
1533|Unit 26|过滤|guòlǜ|v.|filter|过滤干净；过滤茶叶|guòlǜ gānjìng; guòlǜ cháyè|filter until clean; filter tea leaves
1534|Unit 26|过期|guò//qī|v.|be overdue|过期商品；已经过期|guòqī shāngpǐn; yǐjīng guòqī|expired goods; already expired
1535|Unit 26|过日子|guò rìzi|v.|live; live one's life|会过日子；过好日子|huì guò rìzi; guò hǎo rìzi|know how to manage daily life; live a good life
1536|Unit 26|过剩|guòshèng|v.|have an excess of|营养过剩；精力过剩|yíngyǎng guòshèng; jīnglì guòshèng|excess nutrition; excess energy
1537|Unit 26|过失|guòshī|n.|fault|改正过失|gǎizhèng guòshī|correct a fault
1538|Unit 26|过头|guò//tóu|adj.|overdone|聪明过头；这话说过头了|cōngming guò tóu; zhè huà shuō guò tóu le|too clever for one's own good; that remark went too far
1539|Unit 26|过往|guòwǎng|v./n.|come and go; associate with; past|过往的人；他们俩是老同学，过往很密；过往的日子|guòwǎng de rén; tāmen liǎ shì lǎo tóngxué, guòwǎng hěn mì; guòwǎng de rìzi|passersby; the two of them are old classmates and associate closely; days gone by
1540|Unit 26|过意不去|guòyìbuqù|v.|feel sorry|你这么说，我心里更过意不去了。|nǐ zhème shuō, wǒ xīnli gèng guòyìbuqù le.|When you say that, I feel even more sorry.
1541|Unit 26|过瘾|guò//yǐn|v.|enjoy oneself to the full|辣得真过瘾；过足了瘾|là de zhēn guòyǐn; guò zú le yǐn|so spicy that it is really satisfying; fully satisfy one's craving
1542|Unit 26|过硬|guò//yìng|adj.|perfect; superb|技术过硬；本领过硬|jìshù guòyìng; běnlǐng guòyìng|excellent technique; solid ability
