Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
3541|Unit 60|山冈|shāngāng|n.|low hill|站在山冈上；走下山冈|zhàn zài shāngāng shàng; zǒu xià shāngāng|stand on a low hill; walk down the low hill
3542|Unit 60|山岭|shānlǐng|n.|mountain range|连绵的山岭|liánmián de shānlǐng|a continuous mountain range
3543|Unit 60|山路|shānlù|n.|mountain road|一段山路；曲折的山路|yí duàn shānlù; qūzhé de shānlù|a stretch of mountain road; a winding mountain road
3544|Unit 60|山寨|shānzhài|n.|mountain fastness|平静的山寨；偏僻的山寨|píngjìng de shānzhài; piānpì de shānzhài|a peaceful mountain stronghold; a remote mountain stronghold
3545|Unit 60|删|shān|v.|delete|删掉；删去；删邮件|shāndiào; shānqù; shān yóujiàn|delete; remove; delete emails
3546|Unit 60|删除|shānchú|v.|delete|删除文件；删除数据；彻底删除|shānchú wénjiàn; shānchú shùjù; chèdǐ shānchú|delete files; delete data; delete completely
3547|Unit 60|煽动|shāndòng|v.|incite|煽动情绪；煽动骚乱|shāndòng qíngxù; shāndòng sāoluàn|inflame emotions; incite unrest
3548|Unit 60|闪烁|shǎnshuò|v.|twinkle|灯光闪烁；闪烁不停|dēngguāng shǎnshuò; shǎnshuò bù tíng|lights twinkle; keep flickering
3549|Unit 60|善|shàn|adj.|good|善事；善心；心怀不善|shànshì; shànxīn; xīnhuái bú shàn|good deeds; a kind heart; harbor ill intentions
3550|Unit 60|善意|shànyì|n.|good intentions|表达善意；他人的善意|biǎodá shànyì; tārén de shànyì|express goodwill; another person's goodwill
3551|Unit 60|擅长|shàncháng|v.|be good at|擅长写作；擅长表演；不太擅长|shàncháng xiězuò; shàncháng biǎoyǎn; bú tài shàncháng|be good at writing; be good at performing; not very good at it
3552|Unit 60|擅自|shànzì|adv.|without authorization|擅自更改；擅自离开|shànzì gēnggǎi; shànzì líkāi|change without authorization; leave without authorization
3553|Unit 60|膳食|shànshí|n.|meals|科学膳食；合理膳食|kēxué shànshí; hélǐ shànshí|a scientific diet; a balanced diet
3554|Unit 60|赡养|shànyǎng|v.|support (esp. one's parents, etc.)|赡养父母；赡养老人|shànyǎng fùmǔ; shànyǎng lǎorén|support one's parents; support elderly people
3555|Unit 60|伤残|shāngcán|v.|be physically disabled|伤残补助金；致人伤残|shāngcán bǔzhùjīn; zhì rén shāngcán|disability allowance; cause someone to become disabled
3556|Unit 60|伤感|shānggǎn|adj.|sentimental|容易伤感；伤感的诗|róngyì shānggǎn; shānggǎn de shī|easily become sentimental; a sentimental poem
3557|Unit 60|伤痕|shānghén|n.|scar|满是伤痕；留下伤痕|mǎn shì shānghén; liúxià shānghén|covered with scars; leave a scar
3558|Unit 60|伤脑筋|shāng nǎojīn|adj.|troublesome|真伤脑筋；伤透脑筋|zhēn shāng nǎojīn; shāng tòu nǎojīn|really troublesome; be utterly vexing
3559|Unit 60|伤势|shāngshì|n.|injury|伤势严重；伤势不轻|shāngshì yánzhòng; shāngshì bù qīng|serious injuries; injuries are not minor
3560|Unit 60|商贩|shāngfàn|n.|vendor|个体商贩；流动商贩|gètǐ shāngfàn; liúdòng shāngfàn|independent vendor; itinerant vendor
3561|Unit 60|商贾|shānggǔ|n.|merchants|商贾之家；商贾往来|shānggǔ zhī jiā; shānggǔ wǎnglái|a merchant family; dealings among merchants
3562|Unit 60|商讨|shāngtǎo|v.|deliberate|商讨国家大事；商讨方案；共同商讨|shāngtǎo guójiā dàshì; shāngtǎo fāng'àn; gòngtóng shāngtǎo|deliberate on affairs of state; discuss a plan; deliberate together
3563|Unit 60|上报|shàngbào|v.|report to|及时上报；逐级上报；上报上级检察院|jíshí shàngbào; zhújí shàngbào; shàngbào shàngjí jiǎncháyuàn|report promptly; report level by level; report to a higher-level procuratorate
