Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1801|Unit 31|毁坏|huǐhuài|v.|destroy; damage|毁坏古迹；毁坏公物|huǐhuài gǔjì; huǐhuài gōngwù|destroy historical sites; damage public property
1802|Unit 31|毁灭|huǐmiè|v.|ruin; destroy|毁灭证据；毁灭一切|huǐmiè zhèngjù; huǐmiè yíqiè|destroy evidence; destroy everything
1803|Unit 31|汇合|huìhé|v.|converge; join|几条小河在这儿汇合成大河；人民的意志汇合成一股巨大的力量|jǐ tiáo xiǎohé zài zhèr huìhé chéng dàhé; rénmín de yìzhì huìhé chéng yì gǔ jùdà de lìliàng|several small rivers join here to become a large river; the people's will converges into a great force
1804|Unit 31|汇集|huìjí|v.|assemble; gather|人群汇集到广场上；汇集材料|rénqún huìjí dào guǎngchǎng shàng; huìjí cáiliào|crowds gather in the square; collect materials
1805|Unit 31|汇聚|huìjù|v.|converge; gather|汇聚力量；汇聚在一起|huìjù lìliàng; huìjù zài yìqǐ|gather strength; gather together
1806|Unit 31|会场|huìchǎng|n.|conference hall; meeting place|走进会场；离开会场|zǒu jìn huìchǎng; líkāi huìchǎng|enter the conference hall; leave the meeting place
1807|Unit 31|会面|huìmiàn|v.|meet|和他会面；在茶馆儿会面|hé tā huìmiàn; zài cháguǎnr huìmiàn|meet with him; meet at a teahouse
1808|Unit 31|会晤|huìwù|v.|meet; hold a formal meeting|正式会晤；会晤地点|zhèngshì huìwù; huìwù dìdiǎn|formal meeting; meeting place
1809|Unit 31|会意|huìyì|v.|understand what each other thinks|会意地笑；会意地看了看我|huìyì de xiào; huìyì de kàn le kàn wǒ|smile knowingly; give me a knowing look
1810|Unit 31|会诊|huìzhěn|v.|hold a group consultation|专家会诊；中西医会诊|zhuānjiā huìzhěn; Zhōng-Xī yī huìzhěn|specialist consultation; Chinese and Western medicine consultation
1811|Unit 31|绘声绘色|huìshēng-huìsè|adj.|vivid; lively|绘声绘色地描述；说得绘声绘色|huìshēng-huìsè de miáoshù; shuō de huìshēng-huìsè|describe vividly; speak vividly
1812|Unit 31|贿赂|huìlù|v./n.|bribe; bribery|用金钱贿赂；接受贿赂；拒绝贿赂|yòng jīnqián huìlù; jiēshòu huìlù; jùjué huìlù|bribe with money; accept a bribe; refuse a bribe
1813|Unit 31|昏迷|hūnmí|v.|be comatose; lose consciousness|昏迷不醒；昏迷过去|hūnmí bù xǐng; hūnmí guòqù|remain unconscious; pass out
1814|Unit 31|婚纱|hūnshā|n.|wedding dress|一件婚纱；穿上婚纱|yí jiàn hūnshā; chuān shàng hūnshā|a wedding dress; put on a wedding dress
1815|Unit 31|婚姻|hūnyīn|n.|marriage|婚姻生活；婚姻关系|hūnyīn shēnghuó; hūnyīn guānxì|married life; marital relationship
1816|Unit 31|浑身|húnshēn|n.|whole body|浑身上下；浑身难受|húnshēn shàngxià; húnshēn nánshòu|from head to toe; feel uncomfortable all over
1817|Unit 31|魂|hún|n.|soul|诗魂；民族魂|shīhún; mínzúhún|poetic soul; national spirit
1818|Unit 31|混凝土|hùnníngtǔ|n.|concrete|用混凝土铺路|yòng hùnníngtǔ pū lù|pave a road with concrete
1819|Unit 31|混淆|hùnxiáo|v.|mix up; confuse|混淆黑白；混淆是非|hùnxiáo hēibái; hùnxiáo shìfēi|confuse black and white; confuse right and wrong
1820|Unit 31|混浊|hùnzhuó|adj.|turbid; muddy|混浊的空气；混浊的河水|hùnzhuó de kōngqì; hùnzhuó de héshuǐ|stuffy/turbid air; muddy river water
1821|Unit 31|豁|huō|v.|slit; open; give up; sacrifice|豁了一个口子；豁口豁了；就是豁出一条命也得把它做好|huō le yí ge kǒuzi; huōkǒu huō le; jiùshì huō chū yì tiáo mìng yě děi bǎ tā zuò hǎo|cut a slit; the opening split; even if it costs a life, it must be done well
