Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2821|Unit 48|美观|měiguān|adj.|beautiful; artistic|造型美观；包装美观；美观大方|zàoxíng měiguān; bāozhuāng měiguān; měiguān dàfang|attractive in design; attractive packaging; attractive and elegant
2822|Unit 48|美化|měihuà|v.|beautify|美化环境；美化工程；全面美化|měihuà huánjìng; měihuà gōngchéng; quánmiàn měihuà|beautify the environment; beautification project; beautify comprehensively
2823|Unit 48|美景|měijǐng|n.|beautiful scenery|欣赏美景；自然美景；草原的美景|xīnshǎng měijǐng; zìrán měijǐng; cǎoyuán de měijǐng|enjoy beautiful scenery; natural scenery; the beautiful scenery of the grassland
2824|Unit 48|美满|měimǎn|adj.|happy|美满的结局；家庭美满；日子过得美满幸福|měimǎn de jiéjú; jiātíng měimǎn; rìzi guò de měimǎn xìngfú|a happy ending; a happy family; live a happy and fulfilled life
2825|Unit 48|美妙|měimiào|adj.|wonderful|美妙的音乐；美妙的舞姿|měimiào de yīnyuè; měimiào de wǔzī|wonderful music; wonderful dancing posture
2826|Unit 48|美人|měirén|n.|beauty|大美人；睡美人|dà měirén; shuì měirén|great beauty; Sleeping Beauty
2827|Unit 48|美味|měiwèi|n.|delicacy|特色美味；品尝美味佳肴|tèsè měiwèi; pǐncháng měiwèi jiāyáo|special delicacy; taste delicious food
2828|Unit 48|美中不足|měizhōng-bùzú|idiom|a fly in the ointment|美中不足之处；有点儿美中不足|měizhōng-bùzú zhī chù; yǒu diǎnr měizhōng-bùzú|a flaw in something otherwise good; a bit of a flaw
2829|Unit 48|美滋滋|měizīzī|adj.|very pleased with oneself|心里美滋滋的；感到美滋滋的；美滋滋地想|xīnli měizīzī de; gǎndào měizīzī de; měizīzī de xiǎng|feel pleased inside; feel delighted; think happily
2830|Unit 48|魅力|mèilì|n.|charm|富有魅力；个人魅力|fùyǒu mèilì; gèrén mèilì|full of charm; personal charm
2831|Unit 48|闷|mēn|adj./v.|stuffy; suffocating; cover tightly; be speechless; shut oneself indoors|闷热；窗和门都关着，房间里很闷；把火闷灭；闷声不响；整天闷在家里|mēnrè; chuāng hé mén dōu guān zhe, fángjiān lǐ hěn mēn; bǎ huǒ mēn miè; mēnshēng-bùxiǎng; zhěngtiān mēn zài jiā lǐ|muggy; the windows and doors are closed, so the room is stuffy; smother the fire; keep silent; stay shut in at home all day
2832|Unit 48|门当户对|méndāng-hùduì|idiom|a marriage between families of equal social rank|男女双方门当户对；门当户对的婚姻|nánnǚ shuāngfāng méndāng-hùduì; méndāng-hùduì de hūnyīn|the man and woman are from well-matched families; a marriage between well-matched families
2833|Unit 48|门槛|ménkǎn|n.|threshold|跨过门槛；这家公司门槛高，入职难度很大|kuàguò ménkǎn; zhè jiā gōngsī ménkǎn gāo, rùzhí nándù hěn dà|step over the threshold; this company has a high entry threshold, so it is hard to get hired
2834|Unit 48|门铃|ménlíng|n.|doorbell|按门铃；门铃响了|àn ménlíng; ménlíng xiǎng le|press the doorbell; the doorbell rang
2835|Unit 48|门路|ménlu|n.|social connections; way to do something|走门路；找到解决资金问题的门路|zǒu ménlu; zhǎodào jiějué zījīn wèntí de ménlu|use connections; find a way to solve the funding problem
