Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
4201|Unit 71|退却|tuìquè|v.|retreat; hang back|战略退却；遇到挫折也决不退却；暂时的退却|zhànlüè tuìquè; yùdào cuòzhé yě jué bù tuìquè; zànshí de tuìquè|strategic retreat; never retreat even when encountering setbacks; temporary retreat
4202|Unit 71|退让|tuìràng|v.|step aside; make a concession; yield|他退让不及，被车撞倒了；一再退让；在原则性问题上从不退让|tā tuìràng bù jí, bèi chē zhuàngdǎo le; yízài tuìràng; zài yuánzéxìng wèntí shàng cóng bù tuìràng|He could not get out of the way in time and was knocked down by a car; repeatedly make concessions; never yield on matters of principle
4203|Unit 71|退缩|tuìsuō|v.|shrink back; flinch|从不退缩；绝不退缩；退缩不前|cóng bù tuìsuō; jué bù tuìsuō; tuìsuō bù qián|never shrink back; absolutely refuse to retreat; shrink back and refuse to move forward
4204|Unit 71|退休金|tuìxiūjīn|n.|retirement pay; pension|发放退休金；领取退休金；退休金账户|fāfàng tuìxiūjīn; lǐngqǔ tuìxiūjīn; tuìxiūjīn zhànghù|pay out pensions; receive a pension; pension account
4205|Unit 71|退学|tuì//xué|v.|leave school; drop out|因病退学；宣布退学|yīnbìng tuìxué; xuānbù tuìxué|leave school because of illness; announce withdrawal from school
4206|Unit 71|退役|tuì//yì|v.|retire; be discharged from service|退役军人；运动员退役；退役战斗机|tuìyì jūnrén; yùndòngyuán tuìyì; tuìyì zhàndòujī|military veteran; an athlete retires; retired fighter aircraft
4207|Unit 71|屯|tún|n.|village, often used in village names|三里屯；江北屯；皇姑屯|Sānlǐtún; Jiāngběitún; Huánggūtún|Sanlitun; Jiangbeitun; Huanggutun
4208|Unit 71|托付|tuōfù|v.|entrust; commit to someone's care|托付于人；无人可以托付|tuōfù yú rén; wú rén kěyǐ tuōfù|entrust to someone; have no one to entrust it to
4209|Unit 71|拖累|tuōlèi|v.|encumber; burden; implicate|拖累别人；拖累家庭；受子女拖累|tuōlèi biérén; tuōlèi jiātíng; shòu zǐnǚ tuōlèi|burden others; burden the family; be burdened by one's children
4210|Unit 71|拖欠|tuōqiàn|v.|be behind in payment; default|拖欠租金；拖欠税款；拖欠费用|tuōqiàn zūjīn; tuōqiàn shuìkuǎn; tuōqiàn fèiyòng|owe overdue rent; be behind on taxes; owe unpaid fees
4211|Unit 71|拖延|tuōyán|v.|delay; put off; procrastinate|拖延时间；一再拖延；故意拖延|tuōyán shíjiān; yízài tuōyán; gùyì tuōyán|stall for time; delay repeatedly; deliberately delay
4212|Unit 71|脱节|tuō//jié|v.|come apart; be disjointed; become disconnected|理论与实践脱节；与时代脱节；与市场脱节|lǐlùn yǔ shíjiàn tuōjié; yǔ shídài tuōjié; yǔ shìchǎng tuōjié|theory is disconnected from practice; be out of touch with the times; be disconnected from the market
4213|Unit 71|脱口而出|tuōkǒu'érchū|idiom|blurt out|刚回国的时候，她说话必须特别留神，否则英语就会脱口而出。|gāng huíguó de shíhou, tā shuōhuà bìxū tèbié liúshén, fǒuzé Yīngyǔ jiù huì tuōkǒu'érchū|When she had just returned to China, she had to be especially careful when speaking, otherwise English would blurt out automatically.
4214|Unit 71|脱落|tuōluò|v.|drop; fall off; come off|牙齿脱落；油漆脱落|yáchǐ tuōluò; yóuqī tuōluò|teeth fall out; paint peels off
4215|Unit 71|脱身|tuō//shēn|v.|get away; get free|想办法脱身；从麻烦中脱身；难以脱身|xiǎng bànfǎ tuōshēn; cóng máfan zhōng tuōshēn; nányǐ tuōshēn|find a way to get away; get out of trouble; find it difficult to get away
4216|Unit 71|脱颖而出|tuōyǐng'érchū|idiom|stand out; distinguish oneself|他能从两百个应聘者里脱颖而出，靠的不是运气。|tā néng cóng liǎngbǎi ge yìngpìnzhě lǐ tuōyǐng'érchū, kào de bú shì yùnqi|He was able to stand out from two hundred applicants, and it was not because of luck.
4217|Unit 71|驮|tuó|v.|carry on the back|驮东西；驮着一个人；驮起来；驮不动|tuó dōngxi; tuózhe yí ge rén; tuó qǐlái; tuó bu dòng|carry things on the back; carry a person on the back; lift and carry on the back; be unable to carry
4218|Unit 71|妥|tuǒ|adj.|appropriate; ready; settled|不妥；妥否；办妥；备妥|bù tuǒ; tuǒ fǒu; bàntuǒ; bèituǒ|inappropriate; whether it is appropriate; get something settled; prepare properly
4219|Unit 71|妥当|tuǒdang|adj.|suitable; proper; appropriate|处理妥当；妥当安排|chǔlǐ tuǒdang; tuǒdang ānpái|handle properly; arrange appropriately
4220|Unit 71|妥善|tuǒshàn|adj./adv.|well arranged; appropriate; properly|妥善处理；妥善安排；妥善保管|tuǒshàn chǔlǐ; tuǒshàn ānpái; tuǒshàn bǎoguǎn|handle properly; arrange properly; keep safely
4221|Unit 71|妥协|tuǒxié|v.|compromise|互相妥协；决不妥协；彻底妥协|hùxiāng tuǒxié; jué bù tuǒxié; chèdǐ tuǒxié|compromise with each other; never compromise; compromise completely
4222|Unit 71|拓宽|tuòkuān|v.|widen; broaden|拓宽马路；拓宽思路；拓宽业务|tuòkuān mǎlù; tuòkuān sīlù; tuòkuān yèwù|widen a road; broaden one's thinking; expand business scope
4223|Unit 71|拓展|tuòzhǎn|v.|expand; spread; extend; develop|拓展思路；拓展业务；拓展能力|tuòzhǎn sīlù; tuòzhǎn yèwù; tuòzhǎn nénglì|expand one's thinking; expand business; develop capabilities
4224|Unit 71|唾液|tuòyè|n.|saliva|分泌唾液|fēnmì tuòyè|secrete saliva
4225|Unit 71|挖掘|wājué|v.|excavate; unearth; explore|挖掘机；挖掘宝藏；挖掘潜力；挖掘真相；深入挖掘|wājuéjī; wājué bǎozàng; wājué qiánlì; wājué zhēnxiàng; shēnrù wājué|excavator; unearth treasure; tap potential; uncover the truth; dig deeper
4226|Unit 71|挖苦|wākǔ|v.|speak sarcastically; mock|挖苦人；互相挖苦；挖苦的意味|wākǔ rén; hùxiāng wākǔ; wākǔ de yìwèi|mock someone; mock each other; a sarcastic tone
