Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2161|37|谨慎|jǐnshèn|adj.|cautious|不够谨慎；谨慎的态度；谨慎地处理|bú gòu jǐnshèn; jǐnshèn de tàidu; jǐnshèn de chǔlǐ|not cautious enough; a cautious attitude; to handle cautiously
2162|37|尽情|jìnqíng|adv.|to one's heart's content|尽情游玩；尽情享受|jìnqíng yóuwán; jìnqíng xiǎngshòu|to play to one's heart's content; to enjoy to one's heart's content
2163|37|尽头|jìntóu|n.|end|爱情走到尽头；世界的尽头|àiqíng zǒu dào jìntóu; shìjiè de jìntóu|love has come to an end; the end of the world
2164|37|进场|jìnchǎng|v.|enter the arena; enter the market|运动员进场；进场交易|yùndòngyuán jìnchǎng; jìnchǎng jiāoyì|athletes enter the arena; enter the market to trade
2165|37|进程|jìnchéng|n.|process|比赛的进程；工作进程；加快进程|bǐsài de jìnchéng; gōngzuò jìnchéng; jiākuài jìnchéng|the course of a competition; work progress; to speed up the process
2166|37|进出|jìnchū|v.|get in and out|进出方便；从大门进出|jìnchū fāngbiàn; cóng dàmén jìnchū|convenient to enter and exit; enter and exit through the main gate
2167|37|进出口|jìn-chūkǒu|n.|entrances and exits; import and export|超市有两个进出口；进出口公司；进出口贸易|chāoshì yǒu liǎng ge jìnchūkǒu; jìnchūkǒu gōngsī; jìnchūkǒu màoyì|the supermarket has two entrances and exits; import-export company; import-export trade
2168|37|进度|jìndù|n.|degree or speed of progress|按目前的进度；工作进度；加快进度|àn mùqián de jìndù; gōngzuò jìndù; jiākuài jìndù|according to the current progress; work progress; to speed up progress
2169|37|进而|jìn'ér|conj.|and then|现在，大部分信息都通过网络进入我们的眼睛、耳朵，进而进入我们的头脑。|xiànzài, dà bùfen xìnxī dōu tōngguò wǎngluò jìnrù wǒmen de yǎnjing, ěrduo, jìn'ér jìnrù wǒmen de tóunǎo.|Now, most information enters our eyes and ears through the internet, and then enters our minds.
2170|37|进修|jìnxiū|v.|engage in advanced studies|进修生；去大学进修中文|jìnxiūshēng; qù dàxué jìnxiū Zhōngwén|advanced-study student; to go to a university for further study in Chinese
2171|37|近年来|jìnnián lái|phrase|in recent years|近年来才出现|jìnnián lái cái chūxiàn|only appeared in recent years
2172|37|劲头|jìntóu|n.|energy; vigour|一股劲头；劲头十足；很有劲头|yì gǔ jìntóu; jìntóu shízú; hěn yǒu jìntóu|a burst of energy; full of energy; very energetic
2173|37|晋升|jìnshēng|v.|promote to a higher position|由部门主任晋升为经理；获得晋升|yóu bùmén zhǔrèn jìnshēng wéi jīnglǐ; huòdé jìnshēng|to be promoted from department director to manager; to receive a promotion
2174|37|浸泡|jìnpào|v.|soak|浸泡豆子；在水里浸泡；长时间浸泡|jìnpào dòuzi; zài shuǐ lǐ jìnpào; cháng shíjiān jìnpào|to soak beans; to soak in water; to soak for a long time
2175|37|禁忌|jìnjì|n./v.|taboo; avoid|语言禁忌；文化禁忌；吃这种药时禁忌吃辣的东西。|yǔyán jìnjì; wénhuà jìnjì; chī zhè zhǒng yào shí jìnjì chī là de dōngxi.|language taboo; cultural taboo; when taking this medicine, avoid eating spicy things.
2176|37|禁区|jìnqū|n.|forbidden zone|闯入禁区；文化禁区|chuǎngrù jìnqū; wénhuà jìnqū|to break into a forbidden zone; cultural forbidden zone
2177|37|茎|jīng|n.|stem; stalk|茎叶；根茎|jīngyè; gēnjīng|stems and leaves; rhizome
2178|37|经|jīng|v.|go through; stand; endure|几经周折；经得起考验|jǐ jīng zhōuzhé; jīng de qǐ kǎoyàn|after many twists and turns; able to withstand tests
2179|37|经度|jīngdù|n.|longitude|所在经度；每15个经度相差1小时|suǒzài jīngdù; měi shíwǔ ge jīngdù xiāngchà yì xiǎoshí|the longitude where something is located; every 15 degrees of longitude differs by one hour
2180|37|经久不息|jīngjiǔ-bùxī|adj.|prolonged|经久不息的掌声|jīngjiǔ-bùxī de zhǎngshēng|prolonged applause
2181|37|经贸|jīngmào|n.|economy and trade|经贸规则；经贸合作|jīngmào guīzé; jīngmào hézuò|economic and trade rules; economic and trade cooperation
2182|37|经商|jīngshāng|v.|be in business|经商才能；经商的本钱|jīngshāng cáinéng; jīngshāng de běnqián|business talent; capital for doing business
2183|37|经受|jīngshòu|v.|withstand|经受考验；经受挑战；经受不住|jīngshòu kǎoyàn; jīngshòu tiǎozhàn; jīngshòu bú zhù|to withstand a test; to withstand a challenge; unable to withstand it
2184|37|荆棘|jīngjí|n.|thistles and thorns|荆棘遍地；布满荆棘|jīngjí biàndì; bùmǎn jīngjí|thorns everywhere; covered with thorns
2185|37|惊|jīng|v.|start; startle|受惊；心里一惊|shòu jīng; xīnlǐ yì jīng|to be frightened; to feel a sudden shock inside
2186|37|惊诧|jīngchà|adj.|surprised|令人惊诧；表示惊诧|lìng rén jīngchà; biǎoshì jīngchà|surprising; to show surprise
2187|37|惊慌|jīnghuāng|adj.|panic|心中惊慌；毫不惊慌；不必惊慌|xīnzhōng jīnghuāng; háo bù jīnghuāng; bú bì jīnghuāng|panicked inside; not panicked at all; no need to panic
2188|37|惊慌失措|jīnghuāng-shīcuò|phrase|be frightened out of one's wits|惊慌失措的表情；让人惊慌失措|jīnghuāng-shīcuò de biǎoqíng; ràng rén jīnghuāng-shīcuò|a panicked and helpless expression; to make people panic and lose their composure
2189|37|惊奇|jīngqí|adj.|amazed|惊奇地发现；惊奇的目光；感到惊奇|jīngqí de fāxiàn; jīngqí de mùguāng; gǎndào jīngqí|to discover in amazement; an amazed gaze; to feel amazed
2190|37|惊叹|jīngtàn|v.|wonder at|惊叹不已；令人惊叹|jīngtàn bù yǐ; lìng rén jīngtàn|to marvel endlessly; astonishing
2191|37|惊天动地|jīngtiān-dòngdì|adj.|earthshaking|惊天动地的事业|jīngtiān-dòngdì de shìyè|an earthshaking cause
