Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1441|Unit 25|挂失|guà//shī|v.|report the loss of sth.|挂失银行卡；及时挂失|guàshī yínhángkǎ; jíshí guàshī|report a bank card lost; report the loss promptly
1442|Unit 25|乖|guāi|adj.|well-behaved; clever|乖孩子；这孩子嘴乖，知道大人爱听什么|guāi háizi; zhè háizi zuǐ guāi, zhīdào dàrén ài tīng shénme|well-behaved child; this child knows how to say what adults like to hear
1443|Unit 25|乖巧|guāiqiǎo|adj.|cute; clever|乖巧的孩子；说话很乖巧|guāiqiǎo de háizi; shuōhuà hěn guāiqiǎo|a cute and clever child; speaks very sweetly and cleverly
1444|Unit 25|拐弯|guǎi//wān|v.|turn; turn a corner|从这儿拐弯；往左拐弯；拐个大弯|cóng zhèr guǎiwān; wǎng zuǒ guǎiwān; guǎi ge dà wān|turn from here; turn left; make a wide turn
1445|Unit 25|拐杖|guǎizhàng|n.|walking stick|一根拐杖；当拐杖；挂拐杖|yì gēn guǎizhàng; dāng guǎizhàng; guà guǎizhàng|a walking stick; use as a walking stick; hang up a walking stick
1446|Unit 25|怪不得|guàibude|adv./v.|no wonder; be not to blame|你误会他了，怪不得他生气呢。；这件事怪不得他，是我的问题。|nǐ wùhuì tā le, guàibude tā shēngqì ne; zhè jiàn shì guàibude tā, shì wǒ de wèntí|You misunderstood him, no wonder he is angry; he is not to blame for this, it is my problem
1447|Unit 25|怪物|guàiwu|n.|monster|一个怪物；被当成怪物|yí ge guàiwu; bèi dàngchéng guàiwu|a monster; be treated as a monster
1448|Unit 25|怪异|guàiyì|adj.|strange|行为怪异；怪异的声音|xíngwéi guàiyì; guàiyì de shēngyīn|strange behavior; a strange sound
1449|Unit 25|关掉|guāndiào|v.|turn off|关掉电视；关掉空调|guāndiào diànshì; guāndiào kōngtiáo|turn off the TV; turn off the air conditioner
1450|Unit 25|关节|guānjié|n.|joint; critical point|关节痛；问题的关节|guānjié tòng; wèntí de guānjié|joint pain; the crux of the problem
1451|Unit 25|关税|guānshuì|n.|tariff|关税水平；降低关税|guānshuì shuǐpíng; jiàngdī guānshuì|tariff level; lower tariffs
1452|Unit 25|关头|guāntóu|n.|juncture|重要关头；最后关头|zhòngyào guāntóu; zuìhòu guāntóu|important juncture; final moment
1453|Unit 25|关照|guānzhào|v.|take care of|请多关照；关照新同事|qǐng duō guānzhào; guānzhào xīn tóngshì|please look after me; take care of a new colleague
1454|Unit 25|观测|guāncè|v.|observe and measure|观测风力；观测敌情|guāncè fēnglì; guāncè díqíng|observe wind force; observe the enemy situation
1455|Unit 25|观感|guāngǎn|n.|impressions|谈谈自己的观感；给人们带来刺激的观感体验|tántan zìjǐ de guāngǎn; gěi rénmen dàilái cìjī de guāngǎn tǐyàn|talk about one's impressions; bring people an exciting viewing experience
1456|Unit 25|观摩|guānmó|v.|observe and emulate|观摩学习；观摩演出|guānmó xuéxí; guānmó yǎnchū|observe and learn; observe a performance
1457|Unit 25|观赏|guānshǎng|v.|view and admire|观赏热带植物；观赏表演|guānshǎng rèdài zhíwù; guānshǎng biǎoyǎn|view tropical plants; watch a performance
1458|Unit 25|观望|guānwàng|v.|look around; wait and see|四处观望；观望市场形势|sìchù guānwàng; guānwàng shìchǎng xíngshì|look around everywhere; wait and see the market situation
1459|Unit 25|官兵|guānbīng|n.|officers and men|一群官兵；武警官兵|yì qún guānbīng; wǔjǐng guānbīng|a group of officers and soldiers; armed police officers and soldiers
1460|Unit 25|官吏|guānlì|n.|government official in the old days|中国古代地方官吏|Zhōngguó gǔdài dìfāng guānlì|local officials in ancient China
1461|Unit 25|官僚|guānliáo|n.|bureaucrat|官僚思想；封建官僚|guānliáo sīxiǎng; fēngjiàn guānliáo|bureaucratic thinking; feudal bureaucrat
1462|Unit 25|官僚主义|guānliáo zhǔyì|n.|bureaucracy|封建官僚主义；杜绝官僚主义|fēngjiàn guānliáo zhǔyì; dùjué guānliáo zhǔyì|feudal bureaucracy; eliminate bureaucracy
1463|Unit 25|官员|guānyuán|n.|official|外交官员；地方官员|wàijiāo guānyuán; dìfāng guānyuán|diplomatic official; local official
1464|Unit 25|棺材|guāncai|n.|coffin|一口棺材|yì kǒu guāncai|a coffin
1465|Unit 25|管家|guǎnjiā|n.|housekeeper|女管家；“管家式”服务|nǚ guǎnjiā; guǎnjiā shì fúwù|female housekeeper; housekeeper-style service
1466|Unit 25|管教|guǎnjiào|v./n.|discipline; control; officer/warden at a reformatory|管教孩子；缺乏管教；管教人员；监狱管教|guǎnjiào háizi; quēfá guǎnjiào; guǎnjiào rényuán; jiānyù guǎnjiào|discipline children; lack discipline; correctional staff; prison warden
1467|Unit 25|管理费|guǎnlǐfèi|n.|management expenses|降低管理费；档案管理费|jiàngdī guǎnlǐfèi; dàng'àn guǎnlǐfèi|reduce management fees; archive management fee
1468|Unit 25|管辖|guǎnxiá|v.|have jurisdiction over|管辖范围；直接管辖|guǎnxiá fànwéi; zhíjiē guǎnxiá|jurisdictional scope; direct jurisdiction
1469|Unit 25|管用|guǎn//yòng|adj.|effective|这种药很管用；不太管用的方法|zhè zhǒng yào hěn guǎnyòng; bú tài guǎnyòng de fāngfǎ|this medicine is very effective; a method that is not very effective
